TP DK USD S YTL,TP DK EUR S YTL,TP DK GBP S YTL,TP DK SEK S YTL,TP DK CHF S YTL,TP DK CAD S YTL,TP DK KWD S YTL,TP DK SAR S YTL
1.34,1.63,2.42,0.17,1.05,1.15,4.59,0.36
1.34,1.64,2.43,0.18,1.06,1.15,4.59,0.36
1.34,1.63,2.41,0.17,1.05,1.15,4.58,0.36
1.34,1.63,2.40,0.17,1.05,1.14,4.60,0.36
1.35,1.62,2.39,0.17,1.04,1.15,4.62,0.36
1.34,1.62,2.38,0.17,1.04,1.15,4.60,0.36
1.35,1.62,2.39,0.17,1.04,1.15,4.62,0.36
1.35,1.62,2.38,0.17,1.04,1.15,4.61,0.36
1.35,1.62,2.38,0.17,1.04,1.15,4.62,0.36
1.36,1.63,2.39,0.17,1.05,1.17,4.66,0.36
1.34,1.60,2.36,0.17,1.03,1.15,4.60,0.36
1.35,1.62,2.38,0.17,1.04,1.15,4.63,0.36
1.36,1.64,2.40,0.18,1.06,1.15,4.65,0.36
1.35,1.64,2.39,0.18,1.06,1.15,4.63,0.36
1.34,1.63,2.36,0.17,1.05,1.14,4.60,0.36
1.35,1.62,2.36,0.17,1.05,1.14,4.62,0.36
1.35,1.62,2.37,0.17,1.05,1.15,4.64,0.36
1.37,1.64,2.39,0.17,1.06,1.17,4.68,0.36
1.37,1.65,2.40,0.17,1.06,1.16,4.69,0.37
1.36,1.64,2.40,0.17,1.06,1.15,4.66,0.36
1.36,1.63,2.38,0.17,1.05,1.15,4.67,0.36
1.37,1.64,2.40,0.17,1.05,1.16,4.70,0.37
1.37,1.63,2.41,0.17,1.05,1.16,4.68,0.36
1.36,1.64,2.42,0.17,1.06,1.16,4.67,0.36
1.36,1.63,2.41,0.17,1.05,1.15,4.67,0.36
1.36,1.64,2.42,0.17,1.06,1.15,4.66,0.36
1.35,1.64,2.42,0.17,1.06,1.16,4.64,0.36
1.35,1.64,2.42,0.17,1.06,1.16,4.64,0.36
1.35,1.63,2.40,0.17,1.05,1.15,4.62,0.36
1.35,1.62,2.39,0.17,1.05,1.14,4.62,0.36
1.35,1.62,2.39,0.17,1.05,1.14,4.62,0.36
1.36,1.61,2.38,0.17,1.04,1.15,4.66,0.36
1.37,1.60,2.37,0.17,1.04,1.14,4.67,0.36
1.36,1.60,2.37,0.17,1.04,1.14,4.66,0.36
1.36,1.61,2.38,0.17,1.04,1.15,4.67,0.36
1.36,1.60,2.37,0.17,1.04,1.15,4.67,0.36
1.36,1.60,2.38,0.17,1.04,1.14,4.66,0.36
1.36,1.59,2.36,0.17,1.03,1.14,4.67,0.36
1.36,1.59,2.35,0.17,1.03,1.14,4.65,0.36
1.36,1.59,2.34,0.17,1.03,1.14,4.65,0.36
1.37,1.60,2.35,0.17,1.04,1.15,4.69,0.37
1.37,1.61,2.35,0.17,1.04,1.15,4.68,0.36
1.37,1.60,2.34,0.17,1.04,1.16,4.68,0.36
1.36,1.60,2.34,0.17,1.03,1.16,4.66,0.36
1.36,1.60,2.34,0.17,1.03,1.16,4.65,0.36
1.36,1.60,2.33,0.17,1.03,1.16,4.65,0.36
1.36,1.59,2.33,0.17,1.03,1.16,4.66,0.36
1.36,1.60,2.34,0.17,1.04,1.16,4.64,0.36
1.36,1.60,2.34,0.17,1.03,1.16,4.65,0.36
